lang,file,core_extended,speaker,wd_ID,wd,start,end,ref,tx,ft,mb_ID,mb,doreco-mb-algn,ps,gl,ph_ID,ph
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w19,nau,9.16,9.304,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m21 m22,na -u,,pro -nsf,1SG.? -UP,p36 p37 p38,n a u
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w20,hooke,9.304,9.68,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m23 m24,hoo -ke,,vitr -vsf,come.from -?,p39 p40 p41 p42,h\ o k e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w21,ng,9.68,9.79,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m25,ng,,part,OBL,p43,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w22,ki,9.79,9.947,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m26,ki,,n,place,p44 p45,k i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w23,a,9.947,10.01,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m27,a,,dei,this,p46,a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w24,ng,10.01,10.1,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m28,ng,,pro,1SG,p47,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w25,si,10.1,10.28,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m29,si,,part,IRR,p48 p49,s i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w26,moo,10.28,10.556,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m30,hoo,,vtr,meet,p50 p51,m o
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w27,au,10.556,10.676,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m31 m32,a -u,,pro -nsf,2SG -UP,p52 p53,a u
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w28,xa,10.676,10.844,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m33,xa,,part,PST,p54 p55,X a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w29,ǃʼoasi,10.844,11.286,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m34,ǃʼoasi,,vtr,look.after,p56 p57 p58 p59 p60,!\_> o a s i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w30,nǁang,11.286,11.471,0004_DoReCo_doreco_nngg1234_NB041016-01_A,"a nau hooke ng ki a, ng si moo au xa ǃʼoasi nǁang,","possibly meaning: ""when I come back, I want to meet you here (as) you guard the house'",m35,nǁang,,n,house,p61 p62 p63,|\|\~ a~ N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w31,<p:>,11.471,12.54,<p:>,<p:>,<p:>,m36,<p:>,,<p:>,<p:>,p64,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w32,ha,12.54,12.68,0005_DoReCo_doreco_nngg1234_NB041016-01_A,"ha nǁae ǁain nǃoon,",then he climbs on the dune,m37,ha,,pro,3H.SG,p65 p66,h\ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w33,nae,12.68,12.92,0005_DoReCo_doreco_nngg1234_NB041016-01_A,"ha nǁae ǁain nǃoon,",then he climbs on the dune,m38,nǁae,,adv,then,p67 p68 p69,n a e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w34,ǁain,12.92,13.27,0005_DoReCo_doreco_nngg1234_NB041016-01_A,"ha nǁae ǁain nǃoon,",then he climbs on the dune,m39,ǁain,,vtr,climb,p70 p71 p72,|\|\ a~ i~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w35,nǃoon,13.27,13.57,0005_DoReCo_doreco_nngg1234_NB041016-01_A,"ha nǁae ǁain nǃoon,",then he climbs on the dune,m40,nǃoon,,n,dune,p73 p74,!\~ o~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w36,<p:>,13.57,14.36,<p:>,<p:>,<p:>,m41,<p:>,,<p:>,<p:>,p75,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w37,gǁain,14.36,14.62,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m42,gǁain,,n,brown.hyena,p76 p77 p78,|\|\_v a~ i~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w38,see,14.62,14.812,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m43,see,,vatr,come,p79 p80,s e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w39,ng,14.812,14.899,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m44,ng,,part,OBL,p81,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w40,ǁUbuka,14.899,15.39,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m45,ǃUbuka,,n,ǃUbuka,p82 p83 p84 p85 p86 p87,|\|\ u b u k a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w41,ha,15.39,15.45,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m46,ha,,pro,3H.SG,p88,<notProcessedChunk>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w42,see,15.45,15.66,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m47,see,,vatr,come,p89 p90,s e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w43,ha,15.66,15.83,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m48,ha,,pro,3H.SG,p91 p92,h\ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w44,ku,15.83,16.02,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m49,ku,,vtr,QUOT,p93 p94,k u
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w45,nǁaa,16.02,16.287,0006_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁain see ng ǃUbuka, ha see, ha ku nǁaa,","hyena comes to ǃUbuka?, he comes and says to him",m50,nǁaa,,pro,OBL.3SG.STR,p95 p96,|\|\~ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w46,<p:>,16.287,16.44,<p:>,<p:>,<p:>,m51,<p:>,,<p:>,<p:>,p97,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w47,ǃʼaa,16.44,16.66,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m52,ǃʼaa,,vitr,stand,p98 p99,!\_> a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w48,naa,16.66,16.811,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m53,ǁʼaa,,vatr,go,p100 p101,n a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w49,ki,16.811,16.96,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m54,ki,,n,place,p102 p103,k i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w50,ng,16.96,17.06,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m55,ng,,pro,1SG,p104,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w51,ǁʼaa,17.06,17.19,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m56,ǁʼaa,,vatr,go.away,p105 p106,|\|\_> a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w52,ng,17.19,17.39,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m57,ng,,part,and,p107,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w53,ǀae,17.39,17.64,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m58,ǀae,,vtr,send,p108 p109 p110,|\ a e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w54,gǁain,17.64,17.91,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m59,gǁain,,n,brown.hyena,p111 p112 p113,|\|\_v a~ i~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w55,ha,17.91,18.02,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m60,ha,,pro,3H.SG,p114 p115,h\ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w56,si,18.02,18.22,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m61,si,,part,IRR,p116 p117,s i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w57,ng,18.22,18.32,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m62,ng,,part,?,p118,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w58,tsee,18.32,18.579,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m63,see,,vatr,come,p119 p120,ts e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w59,ng,18.579,18.68,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m64,ng,,part,and,p121,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w60,ǀai,18.68,18.87,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m65,ǀii,,vtr,take,p122 p123 p124,|\ a i
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w61,ng,18.87,18.98,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m66,ng,,part,OBL,p125,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w62,gǀa,18.98,19.08,0007_DoReCo_doreco_nngg1234_NB041016-01_A,"""ǃʼaa naa ki, ng ǁʼaa ng ǀae gǁain, ha si ng tsee ng ǀai ng gǀa"",","""stand here, I go and send for hyena, he shall come and fetch you""",m67,gǀa,,pro,2SG.OBL,p126 p127,|\_v a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w63,<p:>,19.08,19.976,<p:>,<p:>,<p:>,m68,<p:>,,<p:>,<p:>,p128,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w64,gǁainya,19.976,20.278,0008_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁainya nǁae ǁʼae, gǁain nǁang ǀʼee,","wolf het (net) gekom, toe kom gaan hy in die huis in?",m69 m70,gǁain -a,,n -nsf,brown.hyena -?,p129 p130 p131 p132,|\|\_v a~ i~ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w65,nǁae,20.278,20.556,0008_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁainya nǁae ǁʼae, gǁain nǁang ǀʼee,","wolf het (net) gekom, toe kom gaan hy in die huis in?",m71,nǁae,,adv,then,p133 p134 p135,|\|\~ a e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w66,ǁʼae,20.556,20.806,0008_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁainya nǁae ǁʼae, gǁain nǁang ǀʼee,","wolf het (net) gekom, toe kom gaan hy in die huis in?",m72,ǁʼae,,vatr,go.away,p136 p137 p138,|\|\_> a e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w67,gǁain,20.806,21.075,0008_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁainya nǁae ǁʼae, gǁain nǁang ǀʼee,","wolf het (net) gekom, toe kom gaan hy in die huis in?",m73,gǁain,,n,brown.hyena,p139 p140 p141,|\|\_v a~ i~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w68,nǁang,21.075,21.287,0008_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁainya nǁae ǁʼae, gǁain nǁang ǀʼee,","wolf het (net) gekom, toe kom gaan hy in die huis in?",m74,nǁang,,n,house,p142 p143 p144,|\|\~ a~ N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w69,ǀʼee,21.287,21.655,0008_DoReCo_doreco_nngg1234_NB041016-01_A,"gǁainya nǁae ǁʼae, gǁain nǁang ǀʼee,","wolf het (net) gekom, toe kom gaan hy in die huis in?",m75,ǀʼee,,vatr,go.in,p145 p146,|\_> e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w70,<p:>,21.655,22.55,<p:>,<p:>,<p:>,m76,<p:>,,<p:>,<p:>,p147,<p:>
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w71,ha,22.55,22.71,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m77,ha,,pro,3H.SG,p148 p149,h\ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w72,ǁʼae,22.71,22.99,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m78,ǁʼae,,vatr,go.to,p150 p151 p152,|\|\_> a e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w73,gǁain,22.99,23.239,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m79,gǁain,,n,brown.hyena,p153 p154 p155,|\|\_v a~ i~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w74,ha,23.239,23.406,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m80,ha,,pro,3H.SG,p156 p157,h\ a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w75,ku,23.406,23.608,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m81,ku,,vtr,QUOT,p158 p159,k u
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w76,ng,23.608,23.68,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m82,ng,,part,OBL,p160,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w77,gǁain,23.68,23.879,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m83,gǁain,,n,brown.hyena,p161 p162 p163,|\|\_v a~ i~
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w78,gǀa,23.879,24.014,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m84,gǀa,,pro,2SG.STR,p164 p165,|\_v a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w79,ǁxae,24.014,24.223,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m85,ǁxae,,vitr,know,p166 p167 p168,|\|\X a e
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w80,ng,24.223,24.299,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m86,ng,,pro,1SG,p169,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w81,xa,24.299,24.44,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m87,xa,,part,PST,p170 p171,X a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w82,maa,24.44,24.67,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m88,hoo,,vtr,get,p172 p173,m a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w83,ǀoba,24.67,25.02,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m89,ǀoba,,n,child,p174 p175 p176 p177,|\ o b a
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w84,ng,25.02,25.171,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m90,ng,,pro,1SG,p178,N
nngg1234,doreco_nngg1234_NB041016-01_A,core,B,w85,ǀaeki,25.171,25.542,0009_DoReCo_doreco_nngg1234_NB041016-01_A,"ha ǁʼae gǁain, ha ku ng gǁain, ""gǀa ǁxae ng xa maa ǀoba, ng ǀaeki xa maa ǀoba,","he (J) goes to hyena, he says to hyena ""do you know I have gotten a child, my wife has gotten a child""",m91 m92,ǀae -ki,,n -nsf,woman -?,p179 p180 p181 p182 p183,|\ a e k i
